이름,고유번호,관심사,나이,성별,혜택,교통비,교통횟수,교통총비용,편의점비,편의점횟수,편의점총비용,배달비,배달횟수,배달총비용,카페비,카페횟수,카페총비용,ott비,ott횟수,ott총비용,영화비,영화횟수,영화총비용,쇼핑비,쇼핑횟수,쇼핑총비용,도서비,도서횟수,도서총비용,뷰티비,뷰티횟수,뷰티총비용,야구비,야구횟수,야구총비용,놀이공원/공연비,놀이공원/공연횟수,놀이공원/공연총비용,통신비,통신횟수,통신총비용,card
서성수,a00001,쇼핑,19,여,넷플릭스,500,10,5000,24500,22,539000,24900,7,174300,11800,10,118000,4400,1,4400,23100,3,69300,43900,2,87800,24000,1,24000,38500,5,192500,15600,2,31200,33600,1,33600,45500,1,45500,3
박은서,a00002,카페,14,남,영화관람,600,19,11400,21600,28,604800,12200,3,36600,18000,20,360000,3400,5,17000,13500,3,40500,14900,1,14900,19100,5,95500,23900,2,47800,10800,1,10800,30600,0,0,33000,1,33000,1
안영수,a00003,여행,12,여,영화관람,600,46,27600,43100,7,301700,16900,5,84500,18300,3,54900,2700,4,10800,20100,2,40200,34900,1,34900,25500,1,25500,17900,5,89500,24700,1,24700,46200,0,0,58900,1,58900,1
이정희,a00004,게임,8,여,야구,300,60,18000,33700,3,101100,28300,8,226400,15800,17,268600,4800,6,28800,17000,1,17000,29000,1,29000,27900,3,83700,10400,4,41600,18300,2,36600,32600,1,32600,17500,1,17500,6
서유진,a00005,패션,19,여,통신비,700,32,22400,32200,9,289800,26300,3,78900,15600,12,187200,3200,0,0,23400,3,70200,44300,5,221500,21300,1,21300,47300,4,189200,11200,2,22400,30800,1,30800,32000,1,32000,3
김상훈,a00006,뷰티,12,여,영화관람,600,25,15000,15000,22,330000,24400,3,73200,16400,8,131200,3800,5,19000,18100,2,36200,36800,5,184000,29800,5,149000,19400,3,58200,12300,1,12300,36000,2,72000,27100,1,27100,6
차예진,a00007,여행,15,남,쇼핑,400,16,6400,29800,29,864200,22500,8,180000,11100,19,210900,2600,5,13000,17700,0,0,36200,2,72400,19800,2,39600,44000,3,132000,15500,1,15500,31200,2,62400,42400,1,42400,0
김미영,a00008,쇼핑,16,여,편의점,400,69,27600,21300,10,213000,18900,4,75600,11000,7,77000,2800,2,5600,14000,2,28000,38400,0,0,24200,4,96800,30400,3,91200,20300,2,40600,27000,2,54000,61000,1,61000,1
이종수,a00009,쇼핑,10,여,통신비,400,38,15200,30400,18,547200,20200,8,161600,6000,9,54000,3200,5,16000,21000,1,21000,31100,5,155500,20800,4,83200,10900,1,10900,18800,2,37600,32000,0,0,66400,1,66400,2
강은정,a00010,패션,19,남,뷰티,500,50,25000,38800,9,349200,20100,7,140700,13600,16,217600,3800,0,0,24200,0,0,21400,3,64200,26900,2,53800,12400,2,24800,15800,2,31600,40400,2,80800,56700,1,56700,2
박준영,a00011,카페,18,여,배달,500,14,7000,33800,20,676000,20200,6,121200,19200,19,364800,2700,0,0,22900,3,68700,43500,3,130500,22500,5,112500,41500,0,0,22800,1,22800,37100,1,37100,43400,1,43400,6
